,rank,title,artist,date
0,1,Вали,Канги,31/08/2020
1,2,БЕГИ feat. Poët,Dj Smash,31/08/2020
2,3,Сияй,Ramil’,31/08/2020
3,4,Ты пари,JONY,31/08/2020
4,5,Minor,Miyagi & Andy Panda,31/08/2020
5,6,Не смогу,"VERBEE, KARA KROSS",31/08/2020
6,7,Lollipop,"Gafur, JONY",31/08/2020
7,8,Юность,Dabro,31/08/2020
8,9,Мир сошёл с ума,JONY,31/08/2020
9,10,Fendi,Rakhim,31/08/2020
10,11,Там ревели горы,Miyagi & Andy Panda,31/08/2020
11,12,Втюрилась,дора,31/08/2020
12,13,Поболело и прошло,HENSY,31/08/2020
13,14,Минимум,"Ямаджи, Фейджи",31/08/2020
14,15,Твой поцелуй,"Асия, NЮ",31/08/2020
15,16,Cadillac,"MORGENSHTERN, Элджей",31/08/2020
16,17,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,31/08/2020
17,18,Изгибы твоего тела,Buga,31/08/2020
18,19,X.O,"The Limba, Andro",31/08/2020
19,20,Hollywood,MACAN,31/08/2020
20,21,Тепло,Макс Корж,31/08/2020
21,22,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",31/08/2020
22,23,А уже фсё,MITCHEL,31/08/2020
23,24,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,31/08/2020
24,25,Краш,"Клава Кока, NILETTO",31/08/2020
25,26,неболей,"Баста, Zivert",31/08/2020
26,27,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",31/08/2020
27,28,ICE (feat. MORGENSHTERN),MORGENSHTERN,31/08/2020
28,29,Ананасовый сироп,"Natan, Ганвест",31/08/2020
29,30,Да пошло всё,Мэвл,31/08/2020
30,31,А если это любовь?,HammAli & Navai,31/08/2020
31,32,Небесные розы,JONY,31/08/2020
32,33,По щекам слёзы,"КУЧЕР, JANAGA",31/08/2020
33,34,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",31/08/2020
34,35,А за окном дожди,JONY,31/08/2020
35,36,Французский поцелуй,"Миша Марвин, Ханна",31/08/2020
36,37,Yamakasi,Miyagi & Andy Panda,31/08/2020
37,38,Влюбляешься зря,NLO,31/08/2020
38,39,Such a Whore (Stellular Remix),JVLA,31/08/2020
39,40,Двигаться,Raim,31/08/2020
40,41,Меня не будет,ANIKV feat. SALUKI,31/08/2020
41,42,Забил,ATL,31/08/2020
42,43,Были танцы,"Бьянка, Артур Бабич",31/08/2020
43,44,На тебя смотрю,"ВесЪ, Jah Khalib",31/08/2020
44,45,Если бы не ты,"Nebezao, NЮ",31/08/2020
45,46,Ей нравится,Леша Свик,31/08/2020
46,47,77,MACAN,31/08/2020
47,48,Ты беспощадна,JONY,31/08/2020
48,49,Положение,"DIOR, Samo & ID",31/08/2020
49,50,Boom Boom,"LOBODA, PHARAOH",31/08/2020
50,51,Нежность,Mary Gu,31/08/2020
51,52,Спой,Миша Марвин feat. Мот,31/08/2020
52,53,BANG BANG,Смоки Мо feat. Guf,31/08/2020
53,54,Kosandra,Miyagi & Andy Panda,31/08/2020
54,55,Ну почему,Agunda,31/08/2020
55,56,Было или нет?,"ANIKV, SALUKI",31/08/2020
56,57,Utopia,Miyagi & Andy Panda,31/08/2020
57,58,УРЫЛ 0$,ДЕТИ RAVE,31/08/2020
58,59,Black Guard,Нурминский,31/08/2020
59,60,Кайф ты поймала,Konfuz,31/08/2020
60,61,911,Элджей,31/08/2020
61,62,Времена,Макс Корж,31/08/2020
62,63,РОЛЕКС,DAVA feat. Филипп Киркоров,31/08/2020
63,64,ХЕДШОТ,GAYAZOV$ BROTHER$,31/08/2020
64,65,Brooklyn,Miyagi & Andy Panda feat. TumaniYO,31/08/2020
65,66,Lovefool,twocolors,31/08/2020
66,67,В последний раз,Тима Белорусских,31/08/2020
67,68,Дежавю,kizaru,31/08/2020
68,69,BALENCIAGA,FILV,31/08/2020
69,70,Кино,MACAN,31/08/2020
70,71,KISS,Basiaga feat. Benz,31/08/2020
71,72,Золото,Супер Жорик,31/08/2020
72,73,Океан,Мари Краймбрери,31/08/2020
73,74,Пикачу,"MIA BOYKA, ЕГОР ШИП",31/08/2020
74,75,Ну чё ты такой хороший?,Асия,31/08/2020
75,76,Тобой дышу,"Bahh Tee, Turken",31/08/2020
76,77,Плачу на техно,"Cream Soda, ХЛЕБ",31/08/2020
77,78,Папа,PUSSYKILLER,31/08/2020
78,79,Кайфули,Ганвест,31/08/2020
79,80,Tantra,Miyagi & Andy Panda,31/08/2020
80,81,Ревную,Liza Evans,31/08/2020
81,82,Москва любит...,Скриптонит,31/08/2020
82,83,Такси,"Мохито, Зомб",31/08/2020
83,84,Cadillac Club Remix,"MORGENSHTERN, Элджей",31/08/2020
84,85,МАЛЬЧИК,ФОГЕЛЬ,31/08/2020
85,86,Море волнуется раз,Konfuz,31/08/2020
86,87,Кометы,polnalyubvi,31/08/2020
87,88,Бумажный дом,Мот,31/08/2020
88,89,Fly 2,"Zivert, NILETTO",31/08/2020
89,90,Atlant,Miyagi & Andy Panda,31/08/2020
90,91,Она любила розы,Ислам Итляшев,31/08/2020
91,92,Девочка танцуй,Artik & Asti,31/08/2020
92,93,ВЕСНУШКИ,Тима Белорусских,31/08/2020
93,94,Забываю обещания,Andro,31/08/2020
94,95,Вальс,Ramil',31/08/2020
95,96,Камин,EMIN feat. JONY,31/08/2020
96,97,РАТАТАТАТА,"MORGENSHTERN, Витя АК",31/08/2020
97,98,ЧЁРНЫЙ БУМЕР,DAVA feat. SERYOGA,31/08/2020
98,99,Луна не знает пути,"Тайпан, Agunda",31/08/2020
99,100,Психушка,Karna.val,31/08/2020
