,rank,title,artist,date,streams,week,delta_rank,weeks_in_chart,best_pos,delta_streams,full_id
0,1,Dynamite,BTS,31/08/2020,"749,361",24/08/20 - 30/08/20,,,,,
1,2,Дежавю,kizaru,31/08/2020,"306,269",24/08/20 - 30/08/20,,,,,
2,3,Cadillac,MORGENSHTERN,31/08/2020,"282,133",24/08/20 - 30/08/20,,,,,
3,4,Fendi,Rakhim,31/08/2020,"278,916",24/08/20 - 30/08/20,,,,,
4,5,Blinding Lights,The Weeknd,31/08/2020,"253,590",24/08/20 - 30/08/20,,,,,
5,6,Меня не будет,ANIKV,31/08/2020,"235,588",24/08/20 - 30/08/20,,,,,
6,7,WAP (feat. Megan Thee Stallion),Cardi B,31/08/2020,"230,491",24/08/20 - 30/08/20,,,,,
7,8,ICE (feat. MORGENSHTERN),MORGENSHTERN,31/08/2020,"230,407",24/08/20 - 30/08/20,,,,,
8,9,Friendly Fire - Prod. Avepack,Boulevard Depo,31/08/2020,"227,457",24/08/20 - 30/08/20,,,,,
9,10,Москва любит...,Scriptonite,31/08/2020,"223,206",24/08/20 - 30/08/20,,,,,
10,11,X.O,The Limba,31/08/2020,"222,353",24/08/20 - 30/08/20,,,,,
11,12,Minor,Miyagi & Andy Panda,31/08/2020,"215,377",24/08/20 - 30/08/20,,,,,
12,13,Колхозник,Mnogoznaal,31/08/2020,"209,525",24/08/20 - 30/08/20,,,,,
13,14,Юность,Dabro,31/08/2020,"207,178",24/08/20 - 30/08/20,,,,,
14,15,Поболело и прошло,HENSY,31/08/2020,"205,972",24/08/20 - 30/08/20,,,,,
15,16,Тепло,Max Korzh,31/08/2020,"202,984",24/08/20 - 30/08/20,,,,,
16,17,Сияй,Ramil',31/08/2020,"197,908",24/08/20 - 30/08/20,,,,,
17,18,Забил,ATL,31/08/2020,"196,026",24/08/20 - 30/08/20,,,,,
18,19,Всё в порядке,DK,31/08/2020,"177,135",24/08/20 - 30/08/20,,,,,
19,20,Краш,Klava Koka,31/08/2020,"171,782",24/08/20 - 30/08/20,,,,,
20,21,Narcos,kizaru,31/08/2020,"167,455",24/08/20 - 30/08/20,,,,,
21,22,2 типа людей,Max Korzh,31/08/2020,"164,032",24/08/20 - 30/08/20,,,,,
22,23,Положение,Scriptonite,31/08/2020,"163,518",24/08/20 - 30/08/20,,,,,
23,24,Trap Luv,Big BaTape,31/08/2020,"153,689",24/08/20 - 30/08/20,,,,,
24,25,How You Like That,BLACKPINK,31/08/2020,"152,381",24/08/20 - 30/08/20,,,,,
25,26,Времена,Max Korzh,31/08/2020,"148,024",24/08/20 - 30/08/20,,,,,
26,27,ROCKSTAR (feat. Roddy Ricch),DaBaby,31/08/2020,"146,046",24/08/20 - 30/08/20,,,,,
27,28,Проснулся В Темноте,GONE.Fludd,31/08/2020,"141,374",24/08/20 - 30/08/20,,,,,
28,29,ON,BTS,31/08/2020,"137,980",24/08/20 - 30/08/20,,,,,
29,30,Yamakasi,Miyagi & Andy Panda,31/08/2020,"137,393",24/08/20 - 30/08/20,,,,,
30,31,Вали,Канги,31/08/2020,"133,265",24/08/20 - 30/08/20,,,,,
31,32,Angry toy$ - Prod. Ray Qwa,Boulevard Depo,31/08/2020,"132,240",24/08/20 - 30/08/20,,,,,
32,33,Дорадура,дора,31/08/2020,"131,213",24/08/20 - 30/08/20,,,,,
33,34,Номера,LSP,31/08/2020,"128,861",24/08/20 - 30/08/20,,,,,
34,35,молчи,кис-кис,31/08/2020,"128,783",24/08/20 - 30/08/20,,,,,
35,36,Плачу на техно,Cream Soda,31/08/2020,"128,230",24/08/20 - 30/08/20,,,,,
36,37,Watermelon Sugar,Harry Styles,31/08/2020,"126,446",24/08/20 - 30/08/20,,,,,
37,38,Honey's Kettle,kizaru,31/08/2020,"126,389",24/08/20 - 30/08/20,,,,,
38,39,Her,Pacosp,31/08/2020,"125,912",24/08/20 - 30/08/20,,,,,
39,40,ВТОРНИК,GONE.Fludd,31/08/2020,"123,313",24/08/20 - 30/08/20,,,,,
40,41,Black Swan,BTS,31/08/2020,"120,911",24/08/20 - 30/08/20,,,,,
41,42,Again,Pacosp,31/08/2020,"120,038",24/08/20 - 30/08/20,,,,,
42,43,Антигерой,Mnogoznaal,31/08/2020,"119,848",24/08/20 - 30/08/20,,,,,
43,44,MONEY LONG,kizaru,31/08/2020,"119,366",24/08/20 - 30/08/20,,,,,
44,45,ДЕВОЧКА С КАРЕ,MUKKA,31/08/2020,"117,238",24/08/20 - 30/08/20,,,,,
45,46,Kosandra,Miyagi & Andy Panda,31/08/2020,"114,816",24/08/20 - 30/08/20,,,,,
46,47,911,Eldzhey,31/08/2020,"114,737",24/08/20 - 30/08/20,,,,,
47,48,Конфеты,Markul,31/08/2020,"113,364",24/08/20 - 30/08/20,,,,,
48,49,Boy With Luv (feat. Halsey),BTS,31/08/2020,"111,959",24/08/20 - 30/08/20,,,,,
49,50,Без ключа,PHARAOH,31/08/2020,"111,824",24/08/20 - 30/08/20,,,,,
50,51,Laugh Now Cry Later (feat. Lil Durk),Drake,31/08/2020,"110,400",24/08/20 - 30/08/20,,,,,
51,52,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,31/08/2020,"108,099",24/08/20 - 30/08/20,,,,,
52,53,Midnight Sky,Miley Cyrus,31/08/2020,"107,334",24/08/20 - 30/08/20,,,,,
53,54,Smile (with The Weeknd),Juice WRLD,31/08/2020,"106,525",24/08/20 - 30/08/20,,,,,
54,55,Не Киряй,MUKKA,31/08/2020,"106,243",24/08/20 - 30/08/20,,,,,
55,56,Brooklyn,Miyagi & Andy Panda,31/08/2020,"105,634",24/08/20 - 30/08/20,,,,,
56,57,Lovefool,twocolors,31/08/2020,"105,221",24/08/20 - 30/08/20,,,,,
57,58,Днями-ночами,Pyrokinesis,31/08/2020,"103,930",24/08/20 - 30/08/20,,,,,
58,59,Цепи,Scriptonite,31/08/2020,"103,370",24/08/20 - 30/08/20,,,,,
59,60,Шантаж,Max Korzh,31/08/2020,"101,971",24/08/20 - 30/08/20,,,,,
60,61,Стресс,SALUKI,31/08/2020,"101,953",24/08/20 - 30/08/20,,,,,
61,62,Серпантин,ATL,31/08/2020,"100,738",24/08/20 - 30/08/20,,,,,
62,63,XXX,Yanix,31/08/2020,"100,222",24/08/20 - 30/08/20,,,,,
63,64,Roses - Imanbek Remix,SAINt JHN,31/08/2020,"99,398",24/08/20 - 30/08/20,,,,,
64,65,Серпантин,Markul,31/08/2020,"99,278",24/08/20 - 30/08/20,,,,,
65,66,неболей,Basta,31/08/2020,"98,737",24/08/20 - 30/08/20,,,,,
66,67,РАТАТАТАТА,MORGENSHTERN,31/08/2020,"98,545",24/08/20 - 30/08/20,,,,,
67,68,Breaking Me,Topic,31/08/2020,"98,121",24/08/20 - 30/08/20,,,,,
68,69,Falling,Trevor Daniel,31/08/2020,"97,326",24/08/20 - 30/08/20,,,,,
69,70,Новый Мерин,MORGENSHTERN,31/08/2020,"97,270",24/08/20 - 30/08/20,,,,,
70,71,Покинула чат,Klava Koka,31/08/2020,"96,720",24/08/20 - 30/08/20,,,,,
71,72,Utopia,Miyagi & Andy Panda,31/08/2020,"95,241",24/08/20 - 30/08/20,,,,,
72,73,Мультибрендовый,Scriptonite,31/08/2020,"95,208",24/08/20 - 30/08/20,,,,,
73,74,Там ревели горы,Miyagi & Andy Panda,31/08/2020,"94,829",24/08/20 - 30/08/20,,,,,
74,75,Привычка,Scriptonite,31/08/2020,"94,603",24/08/20 - 30/08/20,,,,,
75,76,Pink Narwhal,IsaacMusic,31/08/2020,"93,187",24/08/20 - 30/08/20,,,,,
76,77,Toosie Slide,Drake,31/08/2020,"93,034",24/08/20 - 30/08/20,,,,,
77,78,Инкассатор,ROCKET,31/08/2020,"92,167",24/08/20 - 30/08/20,,,,,
78,79,Daechwita,Agust D,31/08/2020,"92,159",24/08/20 - 30/08/20,,,,,
79,80,Gimme The Loot,Big BaTape,31/08/2020,"91,328",24/08/20 - 30/08/20,,,,,
80,81,Stay Gold,BTS,31/08/2020,"90,990",24/08/20 - 30/08/20,,,,,
81,82,Любимка,NILETTO,31/08/2020,"89,902",24/08/20 - 30/08/20,,,,,
82,83,Малый повзрослел,Max Korzh,31/08/2020,"89,697",24/08/20 - 30/08/20,,,,,
83,84,Kings & Queens,Ava Max,31/08/2020,"89,657",24/08/20 - 30/08/20,,,,,
84,85,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,31/08/2020,"89,581",24/08/20 - 30/08/20,,,,,
85,86,Кино,MACAN,31/08/2020,"89,064",24/08/20 - 30/08/20,,,,,
86,87,Гостиница Космос,Mnogoznaal,31/08/2020,"88,797",24/08/20 - 30/08/20,,,,,
87,88,БЕГИ feat. Poët,DJ Smash,31/08/2020,"88,752",24/08/20 - 30/08/20,,,,,
88,89,Dynamite - Instrumental,BTS,31/08/2020,"88,546",24/08/20 - 30/08/20,,,,,
89,90,August,Intelligency,31/08/2020,"87,893",24/08/20 - 30/08/20,,,,,
90,91,Ананасовый сироп,Natan,31/08/2020,"87,250",24/08/20 - 30/08/20,,,,,
91,92,Ты пари,JONY,31/08/2020,"86,744",24/08/20 - 30/08/20,,,,,
92,93,Танцы,ssshhhiiittt!,31/08/2020,"86,737",24/08/20 - 30/08/20,,,,,
93,94,Между Нами,LIZER,31/08/2020,"86,647",24/08/20 - 30/08/20,,,,,
94,95,Ты беспощадна,JONY,31/08/2020,"86,543",24/08/20 - 30/08/20,,,,,
95,96,Надежда,FACE,31/08/2020,"86,188",24/08/20 - 30/08/20,,,,,
96,97,Танцуйте,ATL,31/08/2020,"84,663",24/08/20 - 30/08/20,,,,,
97,98,Грустная Песня (feat. Егор Крид & MORGENSHTERN),THRILL PILL,31/08/2020,"84,631",24/08/20 - 30/08/20,,,,,
98,99,Ураган (feat. V $ X V PRiNCE),GUF,31/08/2020,"84,472",24/08/20 - 30/08/20,,,,,
99,100,Your eyes tell,BTS,31/08/2020,"84,345",24/08/20 - 30/08/20,,,,,
100,101,Lollipop,Gafur,31/08/2020,"84,074",24/08/20 - 30/08/20,,,,,
101,102,HIGHEST IN THE ROOM,Travis Scott,31/08/2020,"83,723",24/08/20 - 30/08/20,,,,,
102,103,Малолетка,Max Korzh,31/08/2020,"83,479",24/08/20 - 30/08/20,,,,,
103,104,Not Shy,ITZY,31/08/2020,"81,505",24/08/20 - 30/08/20,,,,,
104,105,77,MACAN,31/08/2020,"80,585",24/08/20 - 30/08/20,,,,,
105,106,Бандана,Платина,31/08/2020,"80,339",24/08/20 - 30/08/20,,,,,
106,107,Fly 2,Zivert,31/08/2020,"80,226",24/08/20 - 30/08/20,,,,,
107,108,THE SCOTTS,THE SCOTTS,31/08/2020,"79,801",24/08/20 - 30/08/20,,,,,
108,109,B.I.D,Markul,31/08/2020,"79,519",24/08/20 - 30/08/20,,,,,
109,110,Нон стоп,Poshlaja Molli,31/08/2020,"79,378",24/08/20 - 30/08/20,,,,,
110,111,По необъятной,DK,31/08/2020,"79,110",24/08/20 - 30/08/20,,,,,
111,112,Рашан моуст уонтэд,kizaru,31/08/2020,"79,059",24/08/20 - 30/08/20,,,,,
112,113,27,FEDUK,31/08/2020,"78,852",24/08/20 - 30/08/20,,,,,
113,114,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,31/08/2020,"78,792",24/08/20 - 30/08/20,,,,,
114,115,Это любовь,Scriptonite,31/08/2020,"78,598",24/08/20 - 30/08/20,,,,,
115,116,SICKO MODE,Travis Scott,31/08/2020,"78,445",24/08/20 - 30/08/20,,,,,
116,117,Such a Whore (Stellular Remix),Jvla,31/08/2020,"78,101",24/08/20 - 30/08/20,,,,,
117,118,Star Shopping,Lil Peep,31/08/2020,"78,084",24/08/20 - 30/08/20,,,,,
118,119,Не по пути,PHARAOH,31/08/2020,"77,980",24/08/20 - 30/08/20,,,,,
119,120,НЕ ЖАЛЬ,104,31/08/2020,"76,941",24/08/20 - 30/08/20,,,,,
120,121,Мишка (feat. KATERINA),Poshlaja Molli,31/08/2020,"76,657",24/08/20 - 30/08/20,,,,,
121,122,Марабу,ATL,31/08/2020,"76,507",24/08/20 - 30/08/20,,,,,
122,123,Мне пох,Klava Koka,31/08/2020,"75,902",24/08/20 - 30/08/20,,,,,
